Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
31.799,1211164.0,1172781.0,233361.0,391387.0,-19506.0,684194.0,107790.0,-8388608.0
31.801,1198317.0,1113451.0,358814.0,469369.0,-18456.0,679511.0,-9621.0,-8388608.0
31.803,1198317.0,1113451.0,358814.0,469369.0,-18456.0,679511.0,-9621.0,-8388608.0
31.815,1234408.0,1183659.0,315346.0,402931.0,-17633.0,640776.0,99156.0,-8388608.0
31.817,1215381.0,1128683.0,405649.0,443231.0,-17949.0,625086.0,-12381.0,-8388608.0
31.819,1215381.0,1128683.0,405649.0,443231.0,-17949.0,625086.0,-12381.0,-8388608.0
31.821,1208033.0,1097959.0,321078.0,432890.0,-18464.0,682090.0,-12131.0,-8388608.0
31.823,1208033.0,1097959.0,321078.0,432890.0,-18464.0,682090.0,-12131.0,-8388608.0
31.825,1173961.0,1092999.0,268320.0,416133.0,-17184.0,709750.0,-9893.0,-8388608.0
31.827,1173961.0,1092999.0,268320.0,416133.0,-17184.0,709750.0,-9893.0,-8388608.0
31.829,1172108.0,1092626.0,274755.0,435679.0,-17447.0,651988.0,-10347.0,-8388608.0
31.831,1172108.0,1092626.0,274755.0,435679.0,-17447.0,651988.0,-10347.0,-8388608.0
31.833,1168925.0,1082153.0,294513.0,479851.0,-18130.0,644998.0,-8957.0,-8388608.0
31.835,1168925.0,1082153.0,294513.0,479851.0,-18130.0,644998.0,-8957.0,-8388608.0
31.837,1225403.0,1191600.0,173894.0,449358.0,-18875.0,684677.0,50207.0,-8388608.0
31.839,1225403.0,1191600.0,173894.0,449358.0,-18875.0,684677.0,50207.0,-8388608.0
31.851,1249276.0,1128084.0,361021.0,528857.0,-17391.0,690242.0,1231.0,-8388608.0
31.853,1248503.0,1130723.0,388950.0,514329.0,-18649.0,648506.0,-10679.0,-8388608.0
31.855,1248503.0,1130723.0,388950.0,514329.0,-18649.0,648506.0,-10679.0,-8388608.0
31.857,1233067.0,1126073.0,384594.0,472724.0,-17749.0,638773.0,6843.0,-8388608.0
31.859,1233067.0,1126073.0,384594.0,472724.0,-17749.0,638773.0,6843.0,-8388608.0
31.861,1226924.0,1114814.0,352250.0,473547.0,-18444.0,660794.0,9870.0,-8388608.0
31.863,1226924.0,1114814.0,352250.0,473547.0,-18444.0,660794.0,9870.0,-8388608.0
31.865,1222062.0,1114594.0,364948.0,507174.0,-18162.0,675012.0,-8249.0,-8388608.0
31.867,1222062.0,1114594.0,364948.0,507174.0,-18162.0,675012.0,-8249.0,-8388608.0
31.869,1229371.0,1118154.0,362049.0,510311.0,-18262.0,676224.0,-7643.0,-8388608.0
31.871,1229371.0,1118154.0,362049.0,510311.0,-18262.0,676224.0,-7643.0,-8388608.0
31.873,1246251.0,1115973.0,341773.0,484828.0,-18381.0,685708.0,-4228.0,-8388608.0
31.875,1246251.0,1115973.0,341773.0,484828.0,-18381.0,685708.0,-4228.0,-8388608.0
31.887,1172357.0,1086884.0,273183.0,404245.0,-18049.0,681723.0,-11412.0,-8388608.0
31.889,1188538.0,1107775.0,281490.0,417200.0,-18342.0,674878.0,-5089.0,-8388608.0
31.891,1188538.0,1107775.0,281490.0,417200.0,-18342.0,674878.0,-5089.0,-8388608.0
31.893,1189469.0,1141587.0,277678.0,382263.0,-18155.0,695356.0,444.0,-8388608.0
31.895,1189469.0,1141587.0,277678.0,382263.0,-18155.0,695356.0,444.0,-8388608.0
31.897,1222121.0,1184507.0,211296.0,362703.0,-17846.0,697314.0,-9129.0,-8388608.0
31.899,1222121.0,1184507.0,211296.0,362703.0,-17846.0,697314.0,-9129.0,-8388608.0
31.901,1221719.0,1134798.0,314180.0,496901.0,-18466.0,691534.0,-9934.0,-8388608.0
31.903,1221719.0,1134798.0,314180.0,496901.0,-18466.0,691534.0,-9934.0,-8388608.0
31.905,1235349.0,1176847.0,256214.0,416503.0,-18318.0,668045.0,12257.0,-8388608.0
31.907,1235349.0,1176847.0,256214.0,416503.0,-18318.0,668045.0,12257.0,-8388608.0
31.909,1257320.0,1196819.0,208225.0,384936.0,-17724.0,605479.0,133708.0,-8388608.0
31.911,1257320.0,1196819.0,208225.0,384936.0,-17724.0,605479.0,133708.0,-8388608.0
31.923,1233572.0,1135119.0,371756.0,538601.0,-17748.0,660574.0,-12712.0,-8388608.0
31.925,1207708.0,1121776.0,390856.0,500126.0,-17406.0,644869.0,-111.0,-8388608.0
31.927,1207708.0,1121776.0,390856.0,500126.0,-17406.0,644869.0,-111.0,-8388608.0
31.929,1197373.0,1129833.0,381912.0,439103.0,-17548.0,645338.0,-4059.0,-8388608.0
31.931,1197373.0,1129833.0,381912.0,439103.0,-17548.0,645338.0,-4059.0,-8388608.0
31.933,1213075.0,1123206.0,349018.0,460213.0,-17960.0,636233.0,-12803.0,-8388608.0
31.935,1213075.0,1123206.0,349018.0,460213.0,-17960.0,636233.0,-12803.0,-8388608.0
31.937,1242116.0,1126979.0,349364.0,505498.0,-18181.0,624035.0,-11701.0,-8388608.0
31.939,1242116.0,1126979.0,349364.0,505498.0,-18181.0,624035.0,-11701.0,-8388608.0
31.941,1203632.0,1097382.0,315543.0,432937.0,-18540.0,635046.0,-11082.0,-8388608.0
31.943,1203632.0,1097382.0,315543.0,432937.0,-18540.0,635046.0,-11082.0,-8388608.0
31.945,1153965.0,1085762.0,276833.0,407682.0,-18753.0,679206.0,-8254.0,-8388608.0
