Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label
85.303,1261.1575927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.307,1274.779541015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.311,1111.00146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.315,1074.8333740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.326,1289.462646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.327,1138.571044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.331,1061.48974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.335,1204.7178955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.339,1295.433837890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.35,1055.6126708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.351,1173.4385986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.355,1296.031005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.359,1197.742919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.363,1059.14013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.374,1288.201904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.375,1225.9300537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.379,1068.199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.383,1111.9200439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.387,1272.913330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.398,1086.4312744140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.399,1086.2578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.403,1250.6427001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.407,1270.6895751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.418,1068.1785888671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.419,1225.5806884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.423,1283.969482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.427,1135.4990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.431,1054.8544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.442,1290.7679443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.443,1165.5689697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.447,1050.5445556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.649,387.6329040527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.653,1088.75830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.664,-470.3534240722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.665,-316.6914367675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.669,878.9111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.673,1061.140380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.684,-331.21649169921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.685,755.0264282226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.689,1106.2838134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.693,160.61248779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.697,-368.0301208496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.708,1130.466552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.709,289.3841552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.713,-500.8614807128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.717,511.9795227050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.721,1147.3568115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.732,-433.1654968261719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.733,175.78485107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.737,1086.2220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.741,819.0299072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.745,-339.8341369628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.756,1009.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.757,968.4808349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.761,64.41832733154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.765,-52.348976135253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.769,879.0267333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.78,-296.0873107910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.781,-434.8385925292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.785,765.1055908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.885,856.8132934570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.889,1170.1292724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.9,-48.89488983154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.901,705.5772094726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.905,1156.0965576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.909,437.034423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.913,-599.25146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.924,1083.2412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.925,316.5042724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.929,-654.3219604492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.933,241.96270751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.937,1100.140380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.948,146.9022216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.949,264.9283752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.953,1024.859130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.957,972.6221313476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.961,-155.95736694335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.972,876.1597900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.973,1006.459716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.977,-91.1963119506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.981,-350.4700012207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.992,1054.442626953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88.993,-8.552075386047363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.997,-454.0384216308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.001,746.6519775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.005,1171.235595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.016,79.50902557373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.017,329.0987548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.021,1082.175537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.025,642.504150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.029,-475.6802978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.04,1068.3572998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.041,744.1056518554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.045,-413.607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.049,39.33370590209961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.053,1011.3949584960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.064,241.02392578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.065,147.98583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.069,971.8097534179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.073,1054.985107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.077,50.75932312011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.081,-352.2056884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.092,1088.411376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.093,148.42332458496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.097,-475.2290954589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.101,600.5967407226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.112,439.8227233886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.113,-530.1446533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.117,297.9994201660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.121,1111.57373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.125,989.2512817382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.129,101.3809585571289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
